table,method,miou,pa,boundary_f1,params_m,fps,notes
main,UNet,68.4,89.1,61.2,31.0,54.0,Literature reference (not trained locally)
main,DeepLabV3Plus,71.6,90.4,63.8,41.2,38.0,Literature reference (not trained locally)
main,SegFormer-B0,51.0,89.9,0.0,3.7,129.9,Real training result (50 epochs CamVid)
main,PIDNet-S,80.1,94.0,73.6,7.6,153.7,Official CamVid result from PIDNet paper
main,Ours-SegFormer-B0-Boundary,51.1,90.2,38.3,3.9,114.8,Real training result (50 epochs CamVid lambda=0.4)
ablation,SegFormer-B0 (lambda=0),51.0,89.9,0.0,3.7,129.9,Baseline without boundary head (50 epochs)
ablation,+BoundaryHead lambda=0.0,45.9,89.2,22.1,3.9,114.3,With boundary head but no boundary loss (30 epochs)
ablation,+BoundaryHead lambda=0.2,45.8,89.1,40.0,3.9,126.8,Moderate boundary supervision (30 epochs)
ablation,+BoundaryHead lambda=0.4,51.1,90.2,38.3,3.9,114.8,Best setting (50 epochs)
ablation,+BoundaryHead lambda=0.6,45.1,89.1,39.7,3.9,119.2,Overemphasized boundary loss (30 epochs)
